!!!!!ΣΗΜΑΝΤΙΚΑ!!!!!,,,,,,,,,,,,
1)  ΔΙΑΒΑΣΤΕ ΠΡΟΣΕΚΤΙΚΑ ΤΑ ΠΑΡΑΚΑΤΩ,,,,,,,,,,,,
"2) Το αρχείο πρέπει να έχει ΥΠΟΧΡΕΩΤΙΚΑ όνομα StandardCurriculum και να είναι  Υπολογιστικό Φύλλο .csv διαχωρισμένο με ','(ΚΟΜΜΑ) στην εξαγωγή του αρχείου και UTF-8  κωδικοποίηση",,,,,,,,,,,,
"3) όταν κάνετε εξαγωγή, σιγουρευτείτε ότι ονομάζετε το αρχείο StandardCurriculum.csv (το.csv μπορεί να μην φαίνεται αλλά αυτήν την κατάληξη θα έχει το αρχείο).",,,,,,,,,,,,
4) ΔΕΝ ΠΕΙΡΑΖΟΥΜΕ την ΠΡΩΤΗ ΣΤΗΛΗ,,,,,,,,,,,,
5) ΔΕΝ ΑΛΛΑΖΟΥΜΕ ΤΗΝ ΣΕΙΡΑ ΤΩΝ ΣΤΗΛΩΝ,,,,,,,,,,,,
"6) Όπου υπάρχει άδειο κελί, το αφήνουμε άδειο",,,,,,,,,,,,
"7) Τα Subject 2,3 και 4 είναι για την επιλογή στο Πρότυπο Πρόγραμμα Επιλογή/Choice όπου το πρόγραμμα προτείνει αρκετά μαθήματα, και άρα για να εμφανίζονται όλα και να μπορούν να γίνουν κλικ στο πρόγραμμα και να ανοίγει η ιστοσελίδα τους, υπάρχουν αυτά τα έξτρα αντικείμενα μόνο για αυτήν την περίπτωση",,,,,,,,,,,,
"8)Πάντα ελέγχουμε όταν κάνουμε αλλαγές, μετά από ένα 5-10λεπτο, ότι οι αλλαγές ανανεώθηκαν στην ιστοσελίδα και δεν υπάρχουν προβλήματα (Εννοείται ελέγχουμε μετά το ανέβασμα του αρχείου στο repository)",,,,,,,,,,,,
9) Ελέγχουμε τo panel με το Πρότυπο Πρόγραμμα για να σιγουρευτούμε ότι έγιναν οι αλλαγές.,,,,,,,,,,,,
10) Ελέγχουμε ότι το αρχείο δεν έχει παράξενα σύμβολα μετά την εξαγωγή,,,,,,,,,,,,
11) ΔΕΝ ΑΛΛΑΖΟΥΜΕ ΠΡΙΝ ΚΑΙ ΤΗΝ ΓΡΑΜΜΗ 17. Επεξεργασία στις γραμμές από την ΓΡΑΜΜΗ 18 και κάτω.,,,,,,,,,,,,
12) ΔΕΝ αλλάζουμε την Γραμμή 17 - Κατηγορίες Στηλών,,,,,,,,,,,,
13) Κάνουμε εξαγωγή αρχείο CSV-Υπολογιστικό Φύλλο με UTF-8,,,,,,,,,,,,
"14) ΥΠΟΧΡΕΩΤΙΚΑ διαχωρισμένο με ','(ΚΟΜΜΑ): Εξαγωγή/Αποθήκευση Ως CSV UTF-8 (Comma delimited)",,,,,,,,,,,,
15) Το αρχείο πρέπει να είναι CSV και η τελική του ονομασία να είναι                           StandardCurriculum.csv (το.csv μπορεί να μην φαίνεται αλλά αυτήν την κατάληξη θα έχει το αρχείο).,,,,,,,,,,,,
Semester,Subject Code,Subject Link,Subject Name,ECTS,Subject 2,Subjec 2 Link,Subject 3,Subject 3 Link,Subject 4,Subject 4 Link,Subject 5,Subject 5 Link
1,HY-100,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=1,Εισαγωγή στην Επιστήμη Υπολογιστών / Introduction to Computer Science,8,,,,,,,,
1,HY-110,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=4,"Απειροστικός Λογισμός I / Calculus I, or another course from group E1",8,,,,,,,,
1,HY112,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=6,"Φυσική I / Physics, άλλο μάθημα επιλογής E1",8,,,,,,,,
1,HY-120,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=9,Ψηφιακή Σχεδίαση / Digital Design,8,,,,,,,,
1,HY-108,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=2,Αγγλικά I / English I,4,,,,,,,,
2,HY-118,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=7,Διακριτά Μαθηματικά / Discrete Mathematics,6,,,,,,,,
2,HY-119,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=8,Γραμμική Άλγεβρα / Linear Algebra,6,,,,,,,,
2,HY-150,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=10,Προγραμματισμός / Programming,8,,,,,,,,
2,Επιλογή / Choice,,HY-215 ή/or HY-225 ή/or HY-255 ή/or HY-111,6,HY-215,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=14,HY-225,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=16,HY-255,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=19,HY-111,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=5
2,HY-109,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=3,Αγγλικά II / English II,4,,,,,,,,
3,HY-217,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=15,Πιθανότητες / Propability Theory I,6,,,,,,,,
3,HY-240,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=17,Δομές Δεδομένων / Data Structures,8,,,,,,,,
3,HY-252,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=18,Αντικειμενοστρεφής Προγραμματισμός / Object-Oriented Programming,8,,,,,,,,
3,HY-280,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=20,Θεωρία Υπολογισμού / Theory of Computation,6,,,,,,,,
3,HY-208,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=12,Αγγλικά III / English III,4,,,,,,,,
4,HY-180,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=11,Λογική / Logic,6,,,,,,,,
4,HY-215,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=14,Εφαρμοσμένα Μαθηματικά για Μηχανικούς / Applied Mathematics for Engineers,,,,,,,,,
4,HY-225,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=16,Οργάνωση Υπολογιστών / Computer Organization,8,,,,,,,,
4,HY-255,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=19,Εργαστήριο Λογισμικού / Software Technology,6,,,,,,,,
4,HY-209,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=13,Αγγλικά IV / English IV,4,,,,,,,,
5,HY-335,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=21,Δίκτυα Υπολογιστών / Computer Networks,6,,,,,,,,
5,HY-345,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=23,Λειτουργικά Συστήματα / Operating Systems,8,,,,,,,,
5,HY-360,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=24,Αρχεία και Βάσεις Δεδομένων / Files and Databases,8,,,,,,,,
5,(E3-E9),https://www.csd.uoc.gr/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr,Μάθημα Επιλογής / Elective Course,6,,,,,,,,
6,HY-340,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=22,Γλώσσες και Μεταφραστές,8,,,,,,,,
6,HY-380,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=25,Αλγόριθμοι και Πολυπλοκότητα / Algorithms and Computational Complexity,8,,,,,,,,
6,(E1-E2),https://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr,Μάθημα Επιλογής / Elective Course,6,,,,,,,,
6,(E3-E9),https://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr,Μάθημα Επιλογής / Elective Course,6,,,,,,,,
7,ΗΥ-499,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=244,Πτυχιακή Εργασία I / Bachelor's Thesis I,9,,,,,,,,
7,3 x (E3-E9),https://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr,Μάθημα Επιλογής / Elective Course,18,,,,,,,,
7,,,,,,,,,,,,
7,,,,,,,,,,,,
8,ΗΥ-499,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr&course=245,Πτυχιακή Εργασία II / Bachelor's Thesis II,9,,,,,,,,
8,2 x (Ε3-Ε9),https://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr,Μάθημα Επιλογής / Elective Course,12,,,,,,,,
8,E1-E9 or Free Choice,https://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&openmenu=demoAcc3&lang=gr,Μάθημα Επιλογής / Elective Course,6,,,,,,,,
8,,,,,,,,,,,,
