Level 1 - A101,A101 - Networking and Communications Lab Εργαστήριο Τηλεπικοινωνιών και Δικτύων
Level 1 - A103,A103 - Digital Design Lab - Εργαστήριο Ψηφιακής Σχεδίασης - 2
Level 1 - A105,A105 - Digital Design Lab - Εργαστήριο Ψηφιακής Σχεδίασης - 2
Level 1 - A107,A107 - Digital Design Lab - Εργαστήριο Ψηφιακής Σχεδίασης - 1
Level 1 - A109,A109 - Digital Design Lab - Εργαστήριο Ψηφιακής Σχεδίασης - 1
Level 1 - A111,A111 - Lecture Room - Αίθουσα Διδασκαλίας - A1
Level 1 - A113,A113 - Lecture Room - Αίθουσα Διδασκαλίας - A1
Level 1 - A115,"A115 - Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών - Lecture Room - Αίθουσα Διδασκαλίας , A2"
Level 1 - A117,"A117 - Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών - Lecture Room - Αίθουσα Διδασκαλίας , A2"
Level 1 - A119,A119 - Lecture Room - Αίθουσα Διδασκαλίας - A3
Level 1 - A121,A121 - Lecture Room - Αίθουσα Διδασκαλίας - A3
Level 1 - A123,A123 - Lecture Room - Αίθουσα Διδασκαλίας - A4
Level 1 - A125,A125 - Lecture Room - Αίθουσα Διδασκαλίας - A
Level 1 - B101,B101
Level 1 - B102,B102 - Computer Room - Εκπαιδευτικό Εργαστήριο Η/Υ
Level 1 - B105,B103
Level 1 - B104,B104 - Computer Room - Εκπαιδευτικό Εργαστήριο Η/Υ
Level 1 - B105,B105
Level 1 - B106,B106 - Lecture Room - Αίθουσα Διδασκαλίας με Η/Υ
Level 1 - B107,B107 - Computer Room - Εκπαιδευτικό Εργαστήριο Η/Υ
Level 1 - B108,B108 - Lecture Room - Αίθουσα Διδασκαλίας με Η/Υ
Level 1 - B109,B109 - Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών - Graduate Students - Μεταπτυχιακοί Φοιτητές
Level 1 - B110,B110 - Lecture Room - Αίθουσα Διδασκαλίας με Η/Υ
Level 1 - B111,B111 - Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών - Graduate Students - Μεταπτυχιακοί Φοιτητές
Level 1 - B112,B112
Level 1 - B113,B113 - Computer Room - Εκπαιδευτικό Εργαστήριο Η/Υ
Level 1 - B115,B115 - Computer Room - Εκπαιδευτικό Εργαστήριο Η/Υ
Level 1 - E101,E101 - Computer Room - Εκπαιδευτικό Εργαστήριο Η/Υ
Level 1 - E102,E102
Level 1 - E103,E103 - Computer Room - Εκπαιδευτικό Εργαστήριο Η/Υ
Level 1 - E104,E104
Level 1 - E105,E105 - Computer Room - Εκπαιδευτικό Εργαστήριο Η/Υ
Level 1 - E106,E106
Level 1 - E108,E108 - Computer Room - Εκπαιδευτικό Εργαστήριο Η/Υ
Level 1 - E110,E110 - Computer Room - Εκπαιδευτικό Εργαστήριο Η/Υ
Level 1 - E112,E112 - Computer Room - Εκπαιδευτικό Εργαστήριο Η/Υ
Level 1 - H101,H101
Level 1 - H102,H102
Level 1 - H103,H103
Level 1 - H104,H104 - Storage Room - Αποθήκη
Level 1 - H105,H105 - Cafeteria - Κυλικείο
Level 1 - H106,H106 - CSD Students' Association - Σύλλογος Φοιτητών ΤΕΥ
Level 1 - H107,H107 - Storage Room - Αποθήκη
Level 1 - H108,H108 - Technical Support - Τεχνική Υποστήριξη
Level 1 - H109,H109 - Front Door
Level 1 - H109b,H109 - Back Door
Level 1 - H110,H110 - Materials Storage - Αποθήκη Υλικού
Level 1 - H112,H112
Level 1 - H114,H114
K1 Corridor,K1 Corridor
Level 2 - B201,B201 - Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών - Teaching Personnel: Stamatis Stamatiadis - ΕΔΙΠ: Σταμάτης Σταματιάδης
Level 2 - B202,B202 - Machine Room - Αίθουσα Μηχανών
Level 2 - B203,B203 - Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών - Teaching Personnel: Emmanuel Tyllianakis - ΕΔΙΠ: Εμμανουήλ Τυλλιανάκης
Level 2 - B204,B204 - Machine Room - Αίθουσα Μηχανών
Level 2 - B205,B205 - Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών - Professor: George Kioseoglou - Καθηγητής: Γεώργιος Κιοσέογλου
Level 2 - B206,B206 - Service - Συντήρηση
Level 2 - B207,B207 - Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών - Associate Professor: Ioannis Remediakis - Αναπληρωτής Καθηγητής: Ιωάννης Ρεμεδιάκης
Level 2 - B208,B208 - Graduate Students - Μεταπτυχιακό Σπουδαστήριο
Level 2 - B209,B209 - Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών - Associate Professor: George Kopidakis - Αναπληρωτής Καθηγητής: Γεώργιος Κοπιδάκης
Level 2 - B210,B210 - Graduate Students - Μεταπτυχιακό Σπουδαστήριο
Level 2 - B211,B211 - Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών - Associate Professor: Andreas Lyberatos - Αναπληρωτής Καθηγητής: Ανδρέας Λυμπεράτος
Level 2 - B212,B212 - Graduate Students - Μεταπτυχιακό Σπουδαστήριο
Level 2 - B214,B214
Level 2 - B213,"B213 - Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών - Professor: Maria Kafesaki , Associate Professor: Dimitrios Papazoglou - Καθηγήτρια:Μαρία Καφεσάκη , Αναπληρωτής Καθηγητής: Δημήτριος Παπάζογλου"
Level 2 - B215,B215 - Yannis Sourlantzis - Γιάννης Σουρλαντζής
Level 2 - B217,B217 - Nikolas Krassas - Νίκος Κρασσάς
Level 2 - B219,B219 - Panagiotis Vavilis - Παναγιώτης Βαβίλης
Level 2 - B221,B221
Level 2 - B223,B223
Level 2 - B225,B225
Level 2 - B227,"B227 - Department of Materials Science and Engineering - Τμήμα Επιστήμης και Μηχανικής Υλικών - Assistant Professor: Dimitrios Tzeranis - Επίκουρος Καθηγητής, Δημήτριος Τζεράνης"
Level 2 - B229,B229 - Maria Mamalaki - Μαίρη Μαμαλάκη
Level 2 - E201,"E201 - Office of Undergraduate Studies - Γραμματεία Προπτυχιακών Σπουδών -  Stella Syntichaki , Despoina Chatzaki - Στέλλα Συντιχάκη , Δέσποινα Χατζάκη"
Level 2 - E202,E202 - Office of Graduate Studies - Γραμματεία Μεταπτυχιακών Σπουδών
Level 2 - E203,E203 - Copy Room - Θυρίδες - Φωτοτυπικό
Level 2 - E204,E204 - Office of Doctoral Candidates - Γραφείο Υποψήφιων Διδακτόρων
Level 2 - E205,E205 - Department of Computer Science - Registry - Τμήμα Επιστήμης Υπολογιστών - Αρχείο
Level 2 - E206,E206 - Noni Rizopoulou - Νόνη Ριζοπούλου
Level 2 - E207,E207
Level 2 - E208,E208 - Conference Room - Peer Access Unit - ΑΙΘΟΥΣΑ ΣΥΝΕΔΡΙΩΝ - ΜΟΝΑΔΑ ΙΣΟΤΙΜΗΣ ΠΡΟΣΒΑΣΗΣ
Level 2 - E210,E210 - Pavlos Mathioudakis - Παύλος Μαθιουδάκης
Level 2 - H201,H201 - Cleaning Team - Ομάδα Καθαριότητας
Level 2 - H202,H202 - Lecture Room - H1
Level 2 - H203,"H203 - Data Processing Laboratory - Εργαστήριο Επεξεργασίας Δεδομένων - Athanasia Margetousaki, Harria Papadaki, Maria Vitsaki, Glykeria Fragioudaki"
Level 2 - H204,H204 - Lecture Room - H1
Level 2 - H205,H205 - 0xdeadalu5 CTF Team - Ομάδα Δαίδαλος
Level 2 - H206,H206 - Lecture Rooom - H2
Level 2 - H208,H208 - Lecture Room - H3
Level 2 - H210,H210
Level 2 - H212,H212
Level 2 - H214,H214
Level 2 - H216,H216
Level 2 - K201,K201 - Meeting Room - Αίθουσα Συναντήσεων
Level 2 - K202,K202 - Distance Learning Classroom - Αίθουσα Τηλεκπαίδευσης
Level 2 - K203,K203 - Data Processing Laboratory - Εργαστήριο Επεξεργασίας Δεδομένων - Giorgos Vitsakis - Γιώργος Βιτσάκης
Level 2 - K204,K204 - Distance Learning Classroom - Αίθουσα Τηλεκπαίδευσης
Level 2 - K205,K205 - Data Processing Laboratory - Εργαστήριο Επεξεργασίας Δεδομένων - Grigoris Tzanodaskalakis - Γρηγόρης Τζανοδασκαλάκης
Level 2 - K206,K206 - Distance Learning Classroom - Αίθουσα Τηλεκπαίδευσης
Level 2 - K207,K207 - Michalis Mountantonakis - Μιχάλης Μουνταντωνάκης
Level 2 - K208,K208 - Distance Learning Classroom - Αίθουσα Τηλεκπαίδευσης
Level 2 - K209,K209 - Visiting Faculty - Επισκέπτης Καθηγητής
Level 2 - K210,K210 - Data Analysis Laboratory - Εργαστήριο Ανάλυσης Δεδομένων
Level 2 - K211,K211 - Fragkiadakis Yannis - Φραγκιαδάκης Γιάννης
Level 2 - K212,K212 - Data Analysis Laboratory - Εργαστήριο Ανάλυσης Δεδομένων
Level 2 - K213,K213
Level 2 - K214,K214 - Parallel and Distributed Computing Laboratory - Εργαστήριο Παράλληλου και Κατανεμημένου Υπολογισμού
Level 2 - K215,K215 - George Papagiannakis - Γιώργος Παπαγιαννάκης
Level 2 - K216,K216 - 3D Printing & Makers' Lab - Εργαστήριο 3D Εκτύπωσης και Κατασκευών - Information and Knowledge Systems Engineering Laboratory - Εργαστήριο Μηχανικής Πληροφοριακών και Γνωσιακών Συστημάτων
Level 2 - K217,K217 - Meeting Room - Αίθουσα Συναντήσεων
Level 2 - K218,K218 - Information and Knowledge Systems Engineering Laboratory - Εργαστήριο Μηχανικής Πληροφοριακών και Γνωσιακών Συστημάτων
Level 2 - K219,K219 - Meeting Room - Αίθουσα Συναντήσεων
Level 2 - K220,K220 - Information and Knowledge Systems Engineering Laboratory - Εργαστήριο Μηχανικής Πληροφοριακών και Γνωσιακών Συστημάτων
Level 2 - K221,K221 - Yannis Tzitzikas - Γιάννης Τζίτζικας
Level 2 - K223,K223 - Marios Pitikakis - Μάριος Πιτικάκης
Level 2 - K225,K225 - Data Analysis Laboratory - Εργαστήριο Ανάλυσης Δεδομένων - Postdoctoral Researchers - Μεταδιδακτορικοί Ερευνητές
Level 2 - K227,"K227 - Data Analysis Laboratory - Εργαστήριο Ανάλυσης Δεδομένων - Secretariat , Postdoctoral Researcher - Γραμματεία , Μεταδιδακτορικός Ερευνητής"
Level 3 - B302,B301 - Visiting Faculty - Επισκέπτης Καθηγητής
Level 3 - B301,B302 - Visiting Faculty - Επισκέπτης Καθηγητής
Level 3 - B303,B303 - Visiting Faculty - Επισκέπτης Καθηγητής
Level 3 - B304,B304 - Tsagkatakis Grigorios - Τσαγκατάκης Γρηγόριος
Level 3 - B305,B305 - Visiting Faculty - Επισκέπτης Καθηγητής
Level 3 - B306,B306 - Signal and Image Processing Laboratory - Εργαστήριο Επεξεργασίας Σημάτων και Εικόνων
Level 3 - B307,B307 - Visiting Faculty - Επισκέπτης Καθηγητής
Level 3 - B308,B308 - Signal and Image Processing Laboratory - Εργαστήριο Επεξεργασίας Σημάτων και Εικόνων
Level 3 - B309,B309 - Panos Tsakalides - Πάνος Τσακαλίδης
Level 3 - B310,B310 - Εργαστήριο Δικτύων και Κινητών Υπολογιστικών Συστημάτων
Level 3 - B311,B311 - Visiting Faculty - Επισκέπτης Καθηγητής
Level 3 - B312,B312 - Εργαστήριο Δικτύων και Κινητών Υπολογιστικών Συστημάτων
Level 3 - B313,B313 - Thanasis Mouchtaris - Θανάσης Μουχτάρης
Level 3 - B314,B314 - Faculty Meeting Room - Αίθουσα Συνεδριάσεων Γενικής Συνέλευσης
Level 3 - B315,B315 - Maria Papadopouli - Μαρία Παπαδοπούλη
Level 3 - B316,B316 - Faculty Meeting Room - Αίθουσα Συνεδριάσεων Γενικής Συνέλευσης
Level 3 - B317,B317 - Xenofontas Dimitropoulos - Ξενοφόντας Δημητρόπουλος
Level 3 - B318,B318 - Faculty Meeting Room - Αίθουσα Συνεδριάσεων Γενικής Συνέλευσης
Level 3 - B319,B319 - Georgios Tziritas - Γεώργιος Τζιρίτας
Level 3 - B320,B320 - Faculty Meeting Room - Αίθουσα Συνεδριάσεων Γενικής Συνέλευσης
Level 3 - B321,B321
Level 3 - B322,B322
Level 3 - B323,B323
Level 3 - B325,B325
Level 3 - B327,B327 - Apostolos Traganitis - Απόστολος Τραγανίτης
Level 3 - B329,B329 - Nikolaos Komontakis - Νικόλαος Κομοντάκης
Level 3 - E301,E301 - Nikolaos Tsatsakis - Visiting Scientist
Level 3 - E302,E302 - Meeting Room - Αίθουσα Συναντήσεων
Level 3 - E303,E303 - Dr. Manos Kamarianakis - Visiting Collaborator
Level 3 - E304,E304 - Rena Kalaitzaki - Administration
Level 3 - E305,E305 - Maria Saviolaki - ΜΟΝΑΔΑ ΙΣΟΤΙΜΗΣ ΠΡΟΣΒΑΣΗΣ
Level 3 - E306,E305 - Maria Saviolaki - ΜΟΝΑΔΑ ΙΣΟΤΙΜΗΣ ΠΡΟΣΒΑΣΗΣ
Level 3 - E307,E307 - Anna Sfakianaki - Άννα Σφακιανάκη
Level 3 - E308,E308 - Visiting Faculty - Επισκέπτης Καθηγητής
Level 3 - E309,E309 - Seminar Room - E2
Level 3 - E310,E310 - Visiting Faculty - Επισκέπτης Καθηγητής
Level 3 - E311,E311 - Seminar Room - E2
Level 3 - E313,E313 - Seminar Room - E1
Level 3 - E315,E315 - Seminar Room - E1
Level 3 - E317,E317 - Control Room - Αίθουσα Ελέγχου
Level 3 - H301,H301 - Postgraduate Students - Μεταδιδακτορικοί Φοιτητές
Level 3 - H302,H302 - Multimedia Informatics Lab (MIL) Speech Signal Processing - Εργαστήριο Πολυμέσων - Επεξεργασία Σήματος Φωνής
Level 3 - H303,H303 - Georgios Kafentzis - Visiting Faculty
Level 3 - H304,H304 - Multimedia Informatics Lab (MIL) Speech Signal Processing - Εργαστήριο Πολυμέσων - Επεξεργασία Σήματος Φωνής
Level 3 - H305,H305 - Yannis Stylianou - Γιάννης Στυλιανού
Level 3 - H306,H306 - PLATO - Programming Languages and Tools Laboratory - ΠΛΑΤΩΝ - Εργαστήριο Γλωσσών και Εργαλείων Προγραμματισμού
Level 3 - H307,H307 - Nikos Siafakas - Visiting Professor
Level 3 - H308,H308 - Distance Learning Classroom - Αίθουσα Τηλεκπαίδευσης
Level 3 - H309,H309 - Haridimos Kondylakis - Χαρίδημος Κονδυλάκης
Level 3 - H310,H310 - Storage Room - Αποθήκη
Level 3 - H311,H311 - Kostas Magoutis - Associate Professor
Level 3 - H312,H312
Level 3 - H314,H314
Level 3 - H316,H316
Level 3 - K301,K301
Level 3 - K302,"K302 - Computational Vision, Graphics and Robotics Laboratory - Εργαστήριο Υπολογιστικής Όρασης Γραφικής και Ρομποτικής"
Level 3 - K303,IsItReallyK303 - Meeting Room - Αίθουσα Συναντήσεων
Level 3 - K304,"K304 - Computational Vision, Graphics and Robotics Laboratory - Εργαστήριο Υπολογιστικής Όρασης Γραφικής και Ρομποτικής"
Level 3 - K305,K305 - Ioannis Tsamardinos - Ιωάννης Τσαμαρδίνος
Level 3 - K306,K306 - Cybersecurity and Privacy Laboratory - Εργαστήριο Κυβερνοασφάλειας και Ιδιωτικότητας
Level 3 - K307,K307 - Dimitris Plexousakis - Δημήτρης Πλεξουσάκης
Level 3 - K308,K308 - Networks and Information Visualization Laboratory - Εργαστήριο Δικτύων και Οπτικοποίησης Πληροφορίας
Level 3 - K309,K309 - Antonis Argyros - Αντώνης Αργυρός
Level 3 - K310,K310 - Human-Computer Interaction Laboratory - Εργαστήριο Αλληλεπίδρασης Ανθρώπου-Υπολογιστή
Level 3 - K311,K311 - Panagiota Fatourou - Παναγιώτα Φατούρου
Level 3 - K312,K312 - Human-Computer Interaction Laboratory - Εργαστήριο Αλληλεπίδρασης Ανθρώπου-Υπολογιστή
Level 3 - K313,K313 - Panos Trahanias - Πάνος Τραχανίας
Level 3 - K314,"K314 - Computer Architecture, Systems, and Languages Laboratory - Εργαστήριο Αρχιτεκτονικής, Συστημάτων, και Γλωσσών Υπολογιστών"
Level 3 - K315,K315 - Antonis Savidis - Αντώνης Σαββίδης
Level 3 - K316,"K316 - Computer Architecture, Systems, and Languages Laboratory - Εργαστήριο Αρχιτεκτονικής, Συστημάτων, και Γλωσσών Υπολογιστών"
Level 3 - K317,K317 - Ioannis G. Tollis - Ιωάννης Γ. Τόλλης
Level 3 - K319,K319 - Vassilis Papaefstathiou - Βασίλης Παπαευσταθίου
Level 3 - K321,K321 - Constantine Stephanidis - Κωνσταντίνος Στεφανίδης
Level 3 - K323,K323 - Evangelos Markatos - Βαγγέλης Μαρκάτος
Level 3 - K325,K325 - Angelos Bilas - Άγγελος Μπίλας
Level 3 - K327,K327 - Polyvios Pratikakis - Πολύβιος Πρατικάκης
Level 3 - K329,K329 - Manolis G. H. Katevenis - Μανόλης Γ. Η. Κατεβαίνης
