AAAAAΚωδικός Μαθήματος,Σύνδεσμος Μαθήματος,Όνομα Μαθήματος,Επώνυμο Καθηγητή,Δευτέρα,Τρίτη,Τετάρτη,Πέμπτη,Παρασκευή
ΔΙΑΒΑΣΤΕ ΠΡΟΣΕΚΤΙΚΑ ΤΑ ΠΑΡΑΚΑΤΩ,,,,,,,,
Στους Κωδικούυς Μαθήματος γράφουμε ΗΥ στα ελληνικά με παύλα χωρίς κενό(-) και τον αριθμό του μαθήματος,,,,,,,,
Στο Όνομα Μαθήματος γράψτε το όνομα του μαθήματος όπως θέλετε,,,,,,,,
Στο Επώνυμο Καθηγητή γράψτε τα στοιχεία του όπως επιθυμείτε π.χ. όπως στο πρόγραμμα,,,,,,,,
ΠΡΟΣΟΧΗ!!!!!!!!!! Στην αναγραφή των αιθουσών σιγουρευτείτε ότ τα γράμματα είναι στα ΕΛΛΗΝΙΚΑ,στα αμφιθέατρα να έχει κενό το ΑΜΦ με το Α και το ΣΟ,και οι υπόλοιπες αίθουσες να αναγρλαφονται με ΕΛΛΗΝΙΚΟ γράμμα και τελεία ανάμεσα στο ΓΡΑΜΜΑ και τον αριθμό(δείτε όπως είναι ήδη),,,,,,
ΗΥ-100,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=1,Εισαγωγή στην Επιστήμη Υπολογιστών,ΠΡΑΤΙΚΑΚΗΣ,,10-12 ΑΜΦ ΣΟ,,10-12 ΑΜΦ ΣΟ,2-4 ΑΜΦ ΣΟ (ΦΡΟΝΤ)
ΗΥ-108,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=2,Αγγλικά Ι,ΡΙΖΟΠΟΥΛΟΥ,,4-6 Η.204,,12-2 Η.204,
ΗΥ-110,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=4,Απειροστικός Λογισμός Ι,ΤΣΑΓΚΑΤΑΚΗΣ,,2-4 ΑΜΦ Α,,2-4 ΑΜΦ Α,4-6 ΑΜΦ ΣΟ (ΦΡΟΝΤ)
ΗΥ-112,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=6,Φυσική Ι,ΚΑΦΕΝΤΖΗΣ,10-12 ΑΜΦ ΣΟ,,10-12 ΑΜΦ ΣΟ,,10-12 ΑΜΦ ΣΟ (ΦΡΟΝΤ)
ΗΥ-119,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=8,Γραμμική Άλγεβρα,ΚΟΜΟΝΤΑΚΗΣ,4-6 ΑΜΦ ΣΟ,,,4-6 ΑΜΦ ΣΟ,6-8 ΑΜΦ ΣΟ (ΦΡΟΝΤ)
ΗΥ-120,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=9,Ψηφιακή Σχεδίαση,ΚΑΤΕΒΑΙΝΗΣ,12-2 ΑΜΦ ΣΟ,,12-2 ΑΜΦ ΣΟ,,12-2 ΑΜΦ ΣΟ
ΗΥ-208,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=12,Αγγλικά ΙΙΙ,ΡΙΖΟΠΟΥΛΟΥ,,12-2 Η.204,,2-4 Η.204,
ΗΥ-217,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=15,Πιθανότητες,ΤΣΑΚΑΛΙΔΗΣ,10-12 ΑΜΦ Α,,10-12 ΑΜΦ Α,,10-12 ΑΜΦ Α (ΦΡΟΝΤ)
ΗΥ-240,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=17,Δομές Δεδομένων,ΦΑΤΟΥΡΟΥ,,2-4 ΑΜΦ ΣΟ,,12-2 ΑΜΦ ΣΟ,12-2 ΑΜΦ Α (ΦΡΟΝΤ)
ΗΥ-252,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=18,Αντικειμενοστρεφής Προγραμματισμός,ΤΖΙΤΖΙΚΑΣ,,10-12 ΑΜΦ Α,,10-12 ΑΜΦ Α,4-6 ΑΜΦ Α (ΦΡΟΝΤ)
ΗΥ-280,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=20,Θεωρία Υπολογισμού,ΠΛΕΞΟΥΣΑΚΗΣ / ΒΑΡΣΟΣ,2-4 ΑΜΦ ΣΟ,,2-4 ΑΜΦ ΣΟ,,2-4 Α.113 (ΦΡΟΝΤ)
ΗΥ-330,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=79,Εισαγωγή στη Θεωρία των Τηλεπικοινωνιακών Συστημάτων,ΤΡΑΓΑΝΙΤΗΣ /ΠΑΠΑΔΑΚΗΣ ΣΤ.,10-12 Α.125,,,10-12 Α.125,
ΗΥ-335,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=21,Δίκτυα Υπολογιστών,ΠΑΠΑΔΟΠΟΥΛΗ,12-2 ΑΜΦ Α,,12-2 ΑΜΦ Α,,12-2 Α.117 (ΦΡΟΝΤ)
ΗΥ-345,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=23,Λειτουργικά Συστήματα,ΜΑΡΚΑΤΟΣ,,4-6 ΑΜΦ Α,,4-6 ΑΜΦ Α,2-4 ΑΜΦ Α (ΦΡΟΝΤ)
ΗΥ-352,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=92,Τεχνολογία Λογισμικού,ΣΑΒΒΙΔΗΣ,10-12 Α.121,12-2 Α.125 (ΦΡΟΝΤ),,,10-12 Α.125
ΗΥ-358,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=93,Γραφική,ΑΡΓΥΡΟΣ / ΚΑΜΑΡΙΑΝΑΚΗΣ,,6-8 ΑΜΦ Α (ΦΡΟΝΤ),6-8 ΑΜΦ Α,6-8 ΑΜΦ Α,
ΗΥ-359,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=94,Διαδικτυοκεντρικός Προγραμματισμός,ΜΟΥΝΤΑΝΤΩΝΑΚΗΣ,2-4 Α.113,,2-4 Α.113 (ΦΡΟΝΤ),2-4 Α.113,
ΗΥ-360,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=24,Αρχεία και Βάσεις Δεδομένων,ΚΟΝΔΥΛΑΚΗΣ,4-6 ΑΜΦ Α,,4-6 ΑΜΦ Α,,4-6 Α.113 (ΦΡΟΝΤ)
ΗΥ-370,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=80,Ψηφιακή Επεξεργασία Σημάτων,ΚΑΦΕΝΤΖΗΣ,10-12 Α.113 (ΕΡΓ/ΡΙΟ),10-12 Α.113,,10-12 Α.113,
ΗΥ-371,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=233,Ψηφιακή Επεξεργασία Εικόνων,ΚΟΜΟΝΤΑΚΗΣ,,4-6 Η.208,4-6 Η.208,,4-6 Α.125 (ΦΡΟΝΤ)
ΗΥ-425,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=90,Αρχιτεκτονική Υπολογιστικών Συστημάτων,ΠΑΠΑΕΥΣΤΑΘΙΟΥ,2-4 Η.204,,2-4 Η.204,,2-4 Η.204
ΗΥ-439,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=84,Ασύρματα Δίκτυα και Κινητά Υπολογιστικά Συστήματα,ΠΑΠΑΔΟΠΟΥΛΗ,6-8 Η.204,,6-8 Η.204,,6-8 Η.204
ΗΥ-452,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=95,Εισαγωγή στην Επιστήμη και την Τεχνολογία των Υπηρεσιών,ΜΑΓΚΟΥΤΗΣ/ΠΙΤΙΚΑΚΗΣ/ΜΠΙΤΣΑΚΗ/ΖΕΓΚΙΝΗΣ,,,4-6 Η.204,,4-6 Η.204
ΗΥ-454,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=278,Τεχνολογία Ανάπτυξης Έξυπνων Διεπαφών και Παιχνιδιών,ΣΑΒΒΙΔΗΣ,12-2 Α.121 (ΦΡΟΝΤ),10-12 Α.121,,10-12 Α.121,
ΗΥ-458,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=266,Εισαγωγή στην Κρυπτογραφία,ΜΑΡΚΑΤΟΣ/ΜΑΝΙΦΑΒΑΣ,12-2 Α.125,,12-2 Α.125 (ΦΡΟΝΤ),,12-2 Α.125
ΗΥ-469,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=232,Σύγχρονα Θέματα Αλληλεπίδρασης ΑνθρώπουΥπολογιστή,ΣΤΕΦΑΝΙΔΗΣ,6-8 Α.113,,6-8 Α.113,,6-8 Α.113 (ΦΡΟΝΤ)
ΗΥ-484,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=113,Δυναμική Πολύπλοκων Δικτύων,ΤΟΛΛΗΣ,2-4 Η.206,,2-4 Η.206,,2-4 Η.206 (ΦΡΟΝΤ)
ΗΥ-487,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=114,Εισαγωγή στην Τεχνητή Νοημοσύνη,ΤΣΑΜΑΡΔΙΝΟΣ/ΠΙΤΙΚΑΚΗΣ,4-6 Α.121,4-6 Α.121 (ΦΡΟΝΤ),,4-6 Α.121,
ΗΥ-500,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=254,Εισαγωγή στην Ερευνα,ΜΕΛΗ ΔΕΠ ΤΟΥ ΤΜΗΜΑΤΟΣ,,,,12-2 Α.113,
ΗΥ-508,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=256,Τεχνική Συγγραφή στα Αγγλικά,ΡΙΖΟΠΟΥΛΟΥ,,10-12 Η.204,,10-12 Η.204,
ΗΥ-527,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=133,Αρχιτεκτονική Παράλληλων Υπολογιστών,ΜΠΙΛΑΣ,10-12 Η.206,,10-12 Η.206,,10-12 Η.206
ΗΥ-546,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=234,Τύποι και Γλώσσες Προγραμματισμού,ΠΡΑΤΙΚΑΚΗΣ,4-6 Η.206,,4-6 Η.206,,
ΗΥ-559,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=252,Τεχνολογίες Υποδομών για Υπηρεσίες Μεγάλης Κλίμακας,ΜΑΓΚΟΥΤΗΣ,,,,4-6 Η.208,10-12 Η.208
ΗΥ-561,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=223,Διαχείριση Δεδομένων στον Παγκόσμιο Ιστό,ΤΖΙΤΖΙΚΑΣ,,2-4 Α.125,,2-4 Α.125,
ΗΥ-562,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=147,Προχωρημένα Θέματα Βάσεων Δεδομένων,ΚΟΝΔΥΛΑΚΗΣ,10-12 Η.208,,10-12 Η.208,,
ΗΥ-567,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=150,Αναπαράσταση Γνώσης και Συλλογιστική,ΠΛΕΞΟΥΣΑΚΗΣ / ΠΑΤΚΟΣ,,10-12 και 4-6 Η.206,,4-6 Η.206,
ΗΥ-573,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=152,Μέθοδοι βελτιστοποίησης,ΤΣΑΓΚΑΤΑΚΗΣ,10-12 Η.204,,2-4 ΑΜΦ Α,,
ΗΥ-577,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=156,Μηχανική Μάθηση,ΤΣΑΜΑΡΔΙΝΟΣ,12-2 Η.204,,12-2 Η.204,,12-2 Η.204 (ΦΡΟΝΤ)
ΗΥ-583,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=159,Αλγόριθμοι Γράφων,ΤΟΛΛΗΣ,,12-2 Η.206,,12-2 Η.206,12-2 Η.206 (ΦΡΟΝΤ)
ΗΥ-590.72,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=274,Introduction to Bioinformatics for Computer Scientists,ΣΤΑΜΑΤΑΚΗΣ,10:45-13:15 Κ.206,,,,
ΗΥ-672,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=171,Προχωρημένα Θέματα Υπολογιστικής Όρασης,ΑΡΓΥΡΟΣ,,2-4 Ε.311,,2-4 Ε.311,